City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
Vostok,42,RU,1573967639,67,46.45,135.83,15.76,3.83
Melilla,97,EC,1573967639,79,-0.8,-80.23,73.8,1.95
Saldanha,100,PT,1573967639,89,41.42,-6.55,38.25,4.43
Aleksandrov Gay,16,RU,1573967639,73,50.14,48.57,34.0,5.55
San Juan,16,AR,1573967399,42,-31.54,-68.53,78.19,4.63
Copiapo,0,CL,1573967465,77,-27.37,-70.33,60.8,3.36
Humboldt,83,CA,1573967699,97,52.21,-105.12,27.36,5.28
Saint-Augustin,5,CA,1573967700,84,45.63,-73.98,12.2,2.24
Sinnamary,34,GF,1573967700,81,5.38,-52.96,81.41,14.47
Hermiston,75,US,1573967700,75,45.84,-119.29,48.0,6.93
Potosi,97,BO,1573967700,68,-19.59,-65.75,46.08,4.29
Umm Lajj,0,SA,1573967700,43,25.02,37.27,73.54,5.75
Merauke,44,ID,1573967700,62,-8.49,140.4,88.27,9.1
Nizhnyaya Tavda,100,RU,1573967700,93,57.67,66.17,29.84,8.39
Port Hardy,90,CA,1573967701,93,50.7,-127.42,50.0,18.34
Surt,15,LY,1573967641,41,31.21,16.59,62.22,11.34
Humaita,100,AR,1573967701,73,-24.93,-65.37,75.2,2.24
Bethanien,41,NA,1573967701,41,-26.5,17.16,65.61,10.33
Davila,75,PH,1573967701,74,18.47,120.58,87.8,14.99
Ranot,76,TH,1573967702,71,7.78,100.32,83.35,9.75
Bathsheba,20,BB,1573967702,94,13.22,-59.52,73.4,6.93
Kalmunai,28,LK,1573967702,76,7.42,81.82,81.95,3.87
Jiuquan,0,CN,1573967702,29,39.73,98.49,22.15,4.81
Beloha,28,MG,1573967702,63,-25.17,45.06,79.74,20.27
Oyon,38,PE,1573967702,74,-10.67,-76.77,37.27,0.83
Esmeralda,27,CL,1573967702,53,-34.33,-70.9,50.83,4.43
Guanica,0,PR,1573967702,74,17.97,-66.91,78.01,2.89
Jieshi,5,CN,1573967703,59,22.82,115.83,80.01,3.0
Hun,17,BE,1573967703,89,50.34,4.87,35.6,2.24
Inuvik,5,CA,1573967703,83,68.36,-133.71,-14.8,5.82
Camacupa,89,AO,1573967703,87,-12.02,17.48,66.83,4.0
Kieta,44,PG,1573967703,69,-6.22,155.63,84.7,3.02
Ballina,87,IE,1573967703,91,54.11,-9.15,46.0,14.0
Kahului,1,US,1573967703,78,20.89,-156.47,78.8,6.93
Nizhniy Odes,97,RU,1573967704,90,63.64,54.86,25.03,8.75
Megion,95,RU,1573967704,77,61.04,76.11,6.8,11.18
Santa Lucia,75,IT,1573967704,87,41.98,12.66,66.2,21.92
Yabrud,0,SY,1573967704,46,33.97,36.66,50.0,13.87
Deer Lake,75,CA,1573967704,85,49.18,-57.43,26.01,17.22
Port Hawkesbury,90,CA,1573967704,86,45.62,-61.36,30.99,19.46
Black River,20,JM,1573967705,83,18.03,-77.85,78.8,4.7
Kalemie,100,CD,1573967705,89,-5.95,29.2,69.85,8.93
Sao Borja,0,BR,1573967705,73,-28.66,-56.0,60.12,7.56
Watrous,92,CA,1573967705,91,51.67,-105.46,31.71,5.99
Hervey Bay,0,AU,1573967705,58,-25.3,152.85,84.2,24.16
Providencia,100,CO,1573967705,98,1.24,-77.6,50.29,2.57
Kuryk,0,KZ,1573967705,66,43.18,51.68,45.37,15.66
Shubarshi,0,KZ,1573967705,66,48.59,57.19,37.22,6.2
Sakaiminato,75,JP,1573967706,48,35.55,133.23,64.4,16.11
Bana,100,CM,1573967706,93,5.14,10.29,67.75,1.83
Ambanja,75,MG,1573967706,94,-13.68,48.45,82.4,6.93
Rio Grande,59,BR,1573967505,90,-32.03,-52.1,60.01,9.91
Pervomaysk,94,RU,1573967706,84,54.87,43.81,33.6,7.05
Chenzhou,87,CN,1573967766,47,25.81,113.03,82.04,1.19
Dukat,83,AL,1573967766,66,40.25,19.57,63.0,3.0
Sharjah,76,AE,1573967732,53,25.36,55.39,80.6,10.29
Duluth,90,US,1573967749,64,46.77,-92.13,39.99,11.41
Ritchie,1,ZA,1573967767,27,-29.03,24.6,75.2,14.99
Karratha,0,AU,1573967661,56,-20.74,116.85,83.91,16.13
Oyonnax,75,FR,1573967767,97,46.26,5.66,37.99,2.24
Anamur,0,TR,1573967658,87,36.08,32.84,51.8,6.93
Srednekolymsk,100,RU,1573967767,97,67.46,153.71,-0.04,6.11
Boguchany,100,RU,1573967768,83,58.38,97.46,1.15,8.25
Ust-Shonosha,99,RU,1573967768,96,61.15,41.34,31.24,3.33
Puerto Quijarro,87,BO,1573967768,52,-19.0,-57.72,70.66,1.81
Lavrentiya,39,RU,1573967768,78,65.58,-170.99,22.48,17.16
Wilmington,50,US,1573967729,47,39.75,-75.55,35.6,6.93
Wonthaggi,89,AU,1573967769,62,-38.6,145.59,64.0,8.68
Acapulco,40,MX,1573967692,88,16.86,-99.88,78.8,3.87
Dwarahat,0,IN,1573967769,17,29.78,79.43,71.92,3.49
Vila Franca do Campo,20,PT,1573967769,67,37.72,-25.43,59.0,5.82
Santiago del Estero,81,AR,1573967594,34,-27.8,-64.26,78.21,11.77
Northam,0,AU,1573967770,38,-31.65,116.67,89.6,10.29
Palu,41,ID,1573967770,59,-0.9,119.87,83.71,5.93
Flinders,75,AU,1573967770,55,-34.58,150.85,68.0,16.11
Ayorou,7,NE,1573967770,18,14.73,0.92,77.2,6.96
Touros,20,BR,1573967770,83,-5.2,-35.46,75.2,3.36
Novouzensk,15,RU,1573967770,82,50.46,48.14,33.24,6.15
Ekibastuz,73,KZ,1573967770,77,51.72,75.32,21.87,20.02
Kushiro,20,JP,1573967771,32,43.11,144.15,37.4,13.87
Finnsnes,89,NO,1573967771,85,69.23,17.98,26.6,20.8
Mantua,75,IT,1573967771,100,45.16,10.79,51.01,6.93
Naifaru,0,MV,1573967771,76,5.44,73.37,82.33,11.36
Murray Bridge,19,AU,1573967771,43,-35.12,139.28,72.0,3.0
Zilair,52,RU,1573967771,70,52.23,57.44,29.73,11.99
Gimli,100,CA,1573967771,96,50.63,-96.99,28.99,7.0
Launceston,40,AU,1573967613,29,-41.43,147.14,64.99,6.93
Coahuayana,29,MX,1573967772,88,18.62,-100.35,69.46,3.56
Hajiganj,0,BD,1573967772,53,23.25,90.85,82.44,5.97
Hasaki,20,JP,1573967772,45,35.73,140.83,70.0,6.93
Aksay,33,KZ,1573967772,57,51.17,53.01,33.78,8.43
Pital,100,CO,1573967773,96,2.27,-75.81,56.52,1.66
Znamenskoye,100,RU,1573967773,94,57.13,73.82,29.34,6.53
Lucapa,100,AO,1573967773,92,-8.42,20.74,69.93,3.24
Udachnyy,90,RU,1573967773,83,66.42,112.4,-7.6,2.24
Tiznit,0,MA,1573967773,41,29.7,-9.73,47.75,9.04
Minot,90,US,1573967601,80,48.23,-101.3,35.6,17.22
Santa Cruz de Tenerife,75,ES,1573967834,87,28.47,-16.25,68.0,4.7
Praia,40,BR,1573967834,77,-20.25,-43.81,69.8,5.82
Palana,100,RU,1573967834,75,59.08,159.95,22.17,6.33
Caracuaro,49,MX,1573967834,90,19.01,-101.13,66.88,3.0
Cap Malheureux,75,MU,1573967834,74,-19.98,57.61,80.6,19.46
Macau,22,BR,1573967834,78,-5.11,-36.64,78.78,15.35
Nueva Loja,100,EC,1573967804,99,0.08,-76.88,69.98,1.77
Makakilo City,40,US,1573967835,74,21.35,-158.09,80.6,3.36
Iguape,3,BR,1573967835,98,-24.7,-47.56,59.58,1.81
Oranjemund,97,ZA,1573967835,66,-28.55,16.43,61.34,20.67
Raton,20,US,1573967835,42,36.9,-104.44,50.0,18.34
Hami,1,CN,1573967835,11,42.84,93.51,27.59,3.58
Natal,20,BR,1573967628,83,-5.81,-35.21,77.0,8.05
Timmins,90,CA,1573967835,73,48.48,-81.33,21.2,12.75
Maningrida,42,AU,1573967835,55,-12.05,134.23,89.02,12.95
Batesville,1,US,1573967836,86,35.77,-91.64,37.99,1.34
Pala,63,TD,1573967836,31,9.37,14.91,77.11,2.37
Goderich,51,CA,1573967836,83,43.74,-81.71,24.01,7.0
Orcopampa,70,PE,1573967836,67,-15.27,-72.34,35.35,0.85
North Bend,75,US,1573967836,100,43.41,-124.22,55.0,3.36
Berlevag,0,NO,1573967836,78,70.86,29.09,28.35,14.83
Oussouye,100,SN,1573967836,78,12.49,-16.54,78.8,4.7
Coihaique,75,CL,1573967837,81,-45.58,-72.07,46.4,6.93
Wysokie Mazowieckie,52,PL,1573967837,100,52.92,22.51,45.0,4.68
Russell,1,US,1573967837,57,38.9,-98.86,51.8,16.11
Vila Velha,20,BR,1573967837,74,-3.71,-38.6,80.6,6.93
Gushi,100,CN,1573967837,73,32.17,115.65,58.3,9.44
Sandwick,100,GB,1573967837,100,54.57,-2.89,45.0,3.36
Hobyo,25,SO,1573967837,64,5.35,48.53,84.47,22.44
Port Macquarie,90,AU,1573967837,68,-31.43,152.91,73.99,19.46
Geraldton,90,CA,1573967838,74,49.72,-86.95,33.8,19.46
Ngunguru,1,NZ,1573967838,89,-35.62,174.5,64.0,8.99
Pisco,90,PE,1573967838,88,-13.71,-76.2,64.99,10.29
Nowy Dwor Gdanski,71,PL,1573967838,93,54.21,19.12,39.99,2.24
Kachug,36,RU,1573967838,56,53.96,105.89,-2.81,1.79
Swinford,87,IE,1573967838,91,53.94,-8.95,46.0,11.01
Richmond,90,CA,1573967709,93,49.16,-123.14,53.6,11.41
Roswell,1,US,1573967715,65,33.39,-104.52,55.99,3.36
Jiexiu,97,CN,1573967839,17,37.02,111.92,35.82,18.54
Montevideo,90,US,1573967589,93,44.94,-95.72,41.0,3.36
Uthal,91,PK,1573967839,30,25.81,66.62,79.21,4.32
Christchurch,88,NZ,1573967700,26,-43.53,172.64,69.8,13.87
Bukama,100,CD,1573967839,91,-9.2,25.85,75.0,2.44
Matagami,61,NG,1573967839,34,9.67,8.4,69.37,4.14
Balikpapan,16,ID,1573967840,63,-1.24,116.86,88.41,3.71
Ambunti,97,PG,1573967840,79,-4.22,142.82,85.01,2.59
Mapastepec,5,MX,1573967900,72,15.44,-92.9,73.31,4.45
Jalu,92,LY,1573967900,58,29.03,21.55,61.99,11.41
Iquitos,75,PE,1573967889,94,-3.75,-73.25,73.4,1.07
Edson,20,CA,1573967901,100,53.59,-116.44,28.4,2.24
Pitkyaranta,100,RU,1573967901,93,61.57,31.48,35.46,13.2
Correntina,100,BR,1573967901,95,-13.34,-44.63,68.32,2.26
Rock Island,1,US,1573967901,80,41.51,-90.58,35.6,4.7
Tessalit,16,ML,1573967901,31,20.2,1.01,65.01,8.21
Mundo Nuevo,0,CL,1573967901,81,-32.72,-71.41,53.6,3.36
Fortuna,90,US,1573967901,100,40.6,-124.16,52.0,5.82
Nicoya,100,CR,1573967901,94,10.15,-85.45,75.99,2.24
Santa Ines,40,EC,1573967902,93,-0.82,-78.63,46.4,3.56
San Policarpo,100,PH,1573967902,78,12.18,125.51,84.15,3.29
Jacareacanga,100,BR,1573967902,94,-6.22,-57.76,70.9,1.81
Aksu,90,KZ,1573967902,62,52.04,76.93,23.0,15.66
Coalburn,20,GB,1573967902,100,55.6,-3.89,39.0,2.51
Melton,40,AU,1573967902,44,-37.68,144.58,64.0,13.87
Bennington,1,US,1573967902,56,42.88,-73.2,21.2,3.58
Tarakan,33,ID,1573967902,72,3.3,117.63,84.36,9.24
Port Augusta,23,AU,1573967903,34,-32.49,137.76,81.0,10.29
Sao Joao do Piaui,56,BR,1573967903,66,-8.36,-42.25,76.68,3.56
Belyy Yar,40,RU,1573967903,77,53.6,91.39,5.0,15.66
Ariquemes,58,BR,1573967903,96,-9.91,-63.03,71.85,1.36
Negara,0,ID,1573967903,79,-8.36,114.62,80.26,15.73
Hofn,40,IS,1573967903,48,64.25,-15.21,39.58,8.21
Necochea,33,AR,1573967904,94,-38.55,-58.74,57.0,8.01
